_id,Condition,Price,Location,Model_Year,Mileage,Exterior_Color,Make,Warranty,Model,Sub_Model,Type,Feedback_Perc,N_Reviews,Seller_Status
,Used,"$8,250 ","San Tan Valley, Arizona, United States",1998,"27,900","Turquoise / Black",Honda,"Vehicle does NOT have an existing warranty",Valkyrie,CT,,100,224,"Private Seller"
,Used,"$4,199 ","Panama City, Florida, United States",2009,"6,477",Burgundy,Yamaha,"Vehicle does NOT have an existing warranty","V Star",,Cruiser,100,645,"Private Seller"
,Used,"$1,825 ","San Antonio, Texas, United States",1996,"17,964",Black,Yamaha,"Vehicle does NOT have an existing warranty","V Max","1200 V-4",Cruiser,100,222,"Private Seller"
,Used,"$5,999 ","Mansfield, Texas, United States",2011,"14,280",Red,Kawasaki,,Verseys,,,100,661,
,Used,"$2,025 ","Suncook, New Hampshire, United States",2010,"20,007","MERLIN RED",Honda,,Fury,,Standard,100,1978,Dealer
,New,"$20,999 ","Elmhurst, IL, United States",2017,0,"BLACK PEARL","Other Makes",,"Slingshot\xAE SL Black Pearl",SL,,100,152,
,Used,"$3,500 ","North Hollywood, California, United States",1991,"24,606",Blue,Suzuki,"Vehicle does NOT have an existing warranty",GSX-R,"GSXR 750",,100,471,"Private Seller"
,Used,"$1,000 ","Greeley, Colorado, United States",1989,"1,706",Red,Suzuki,"Vehicle does NOT have an existing warranty",GSX-R,,"Sport Bike",100,111,"Private Seller"
,Used,"$12,875 ","Palmdale, California, United States",2012,"10,000",Blue/black,Harley-Davidson,"Vehicle does NOT have an existing warranty","FLHTK - Electra Glide\xAE Ultra Limited",,Touring,100,172,"Private Seller"
,Used,"$1,800 ","Anoka, Minnesota, United States",1986,0,White,Yamaha,"Vehicle does NOT have an existing warranty","Big Wheel",,Off-Road,100,68,"Private Seller"
,Used,"$2,325 ","Philo, Ohio, United States",2005,697,Black,Honda,"Vehicle does NOT have an existing warranty",VTX,"1800 R",Cruiser,100,275,"Private Seller"
,Used,"$12,000 ","Fremont, Michigan, United States",2014,"8,097",Silver,Ducati,None,Diavel,Strada,"Sport Touring",100,46,Owner
,Used,"$2,025 ","Suncook, New Hampshire, United States",2010,"20,007","MERLIN RED",Honda,,Fury,,Standard,100,1978,Dealer
,Used,"$11,990 ","Mesquite, Texas, United States",2007,"17,000",Blue,Suzuki,"Vehicle does NOT have an existing warranty",Hayabusa,,"Sport Bike",100,14,owner
,Used,$455,"McHenry, Illinois, United States",2004,"9,950",Red,Honda,"Vehicle does NOT have an existing warranty",VTX,,Cruiser,100,117,Dealer
,New,"$9,699 ","Fargo, North Dakota, United States",2014,0,,Honda,,Valkyrie,,,100,370,
,New,"$6,299 ","Fargo, North Dakota, United States",2014,0,,Honda,,Interceptor,,,100,370,
,Used,"$7,995 ","Springfield, Missouri, United States",2014,"3,124",red/white,Honda,"Vehicle does NOT have an existing warranty",Fury,"HondaFury 1300",Cruiser,100,259,Dealer
,Used,"$2,595 ","Homestead, Florida, United States",1969,"7,489",Red/gray,Honda,"Vehicle does NOT have an existing warranty",CL,,Dual-Purpose,9.3,1787,"Private Seller"
,Used,"$3,300 ","Winston-Salem, North Carolina, United States",2009,"3,418",,Honda,,Shadow,,Cruiser,100,96,
,Used,"$3,478 ","Mountain Home, Arkansas, United States",2009,"9,794",Black,Suzuki,"Vehicle does NOT have an existing warranty","Burgman 650",Executive,"Motor Scooter",100,5862,"Private Seller"
,Used,"$2,700 ","Central Islip, New York, United States",2009,"17,321",Blue,Honda,"Vehicle does NOT have an existing warranty",Shadow,,Cruiser,100,37,"Private Seller"
,New,"$3,800 ","Batavia, Illinois, United States",1914,0,Yellow,"Custom Built Motorcycles","One year on parts","Cyclone Board Track Racer",,"board track racer",100,477,"Private Seller"
,Used,"$1,080 ","Suncook, New Hampshire, United States",2004,"45,054",Black,BMW,,"R1150RT W/ABS",,Standard,100,1978,Dealer
,Used,"$7,500 ","Georgetown, Texas, United States",2000,"6,500","Black / copper","Other Makes",,"Arlen Ness Ultra Custom",,Chopper,100,597,"Private Seller"
,Used,"$3,400 ","DeLand, Florida, United States",2008,"51,300",Yellow,Suzuki,"Vehicle does NOT have an existing warranty",Vstrom,650,"Sport Touring",100,1180,"Private Seller"
,Used,"$7,995 ","Fort Lauderdale, Florida, United States",2010,"46,000",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,,Touring,,0,"Private Seller"
,Used,"$10,000 ","Clairton, Pennsylvania, United States",2009,"2,500",Purple,Suzuki,"Vehicle does NOT have an existing warranty",Boulevard,M109R,Cruiser,100,445,"Private Seller"
,Used,$1,"Carol Stream, Illinois, United States",2004,"4,400",,Honda,,CBR,,,,0,
,Used,"$3,150 ","Cape Coral, Florida, United States",2014,"1,337",Blue/BLK,Yamaha,,Stryker,,Standard,100,518,Dealer
,Used,"$4,599 ","Fernley, Nevada, United States",2006,"62,184",White,Honda,NO,"ST1300 POLICE ABS EXCELLENT",PA6,"Sport Touring",100,269,"Private Seller"
,Used,"$5,500 ","Tawas City, Michigan, United States",2016,500,Green,Kawasaki,,KX,"KX 450F 4 Stroke",Off-Road,100,1737,"Private Seller"
,Used,$500,"Scott City, Missouri, United States",2015,756,Black,Harley-Davidson,"Vehicle has an existing warranty","Sportster Seventy-two",,Gasoline,100,4,Dealer
,Used,"$1,000 ","Georgetown, Kentucky, United States",2003,50,Red,Honda,"Vehicle does NOT have an existing warranty",XR,,,100,1224,"Private Seller"
,Used,"$4,995 ","Vero Beach, Florida, United States",2013,"2,009",Gray,Suzuki,"Vehicle does NOT have an existing warranty",Boulevard,"Boulevard M90",Cruiser,100,1405,Dealer
,Used,"$9,000 ","Astoria, New York, United States",2009,"2,600",White,Ducati,Unspecified,Superbike,1198,"Sport Bike",,71,"Private Seller"
,Used,$760,"Vernon-Rockville, Connecticut, United States",1988,"5,139",White,Yamaha,"Vehicle does NOT have an existing warranty",YSR50,,"Sport Bike",9.2,6104,Dealer
,Used,"$2,500 ","Williamstown, West Virginia, United States",1977,378,,Honda,,CT,,,100,546,
,Used,"$6,500 ","Marana, Arizona, United States",2007,"1,200",,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,,,,0,
,Used,"$4,700 ","Cape Coral, Florida, United States",2009,"9,320",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,,Cruiser,,0,"Private Seller"
,Used,$100,"Garfield, Arkansas, United States",2002,"5,620",Black,Yamaha,"Vehicle does NOT have an existing warranty","V Star",,Cruiser,100,22,"Private Seller"
,Used,"$3,000 ","Prospect, Connecticut, United States",2002,"7,839","Silver with Ghost Flames",Honda,"Vehicle does NOT have an existing warranty","Sabre VT1100C2",,Cruiser,100,2289,"Private Seller"
,Used,"$19,999 ","Miami, Florida, United States",2016,166,Black/Red,Indian,,Chief,,Custom,100,47,Dealer
,Used,"$16,000 ","Fort Lauderdale, Florida, United States",2007,"16,800","Black &amp; other colors",Yamaha,"Vehicle does NOT have an existing warranty",Stratoliner,Trike,Touring,100,418,"Private Seller"
,Used,"$5,888 ","Tampa, Florida, United States",2011,"13,267",Orange/Black,Harley-Davidson,,Sportster,,Cruiser,100,291,Dealer
,Used,"$2,500 ","Yulee, Florida, United States",2005,"11,200",Red,Honda,"Vehicle does NOT have an existing warranty",Shadow,Aero,Cruiser,100,280,"Private Seller"
,Used,"$1,000 ","Binghamton, New York, United States",1996,0,,Honda,"Vehicle does NOT have an existing warranty",CR,,,100,1403,"Private Seller"
,Used,"$4,995 ","Miami, Florida, United States",2012,"11,130",Green,Kawasaki,,Ninja,,Standard,100,47,Dealer
,Used,"$6,900 ","Ridgeland, Mississippi, United States",2014,"13,837","Liquid Graphite",Yamaha,,FZ,,Standard,100,1342,Dealer
,Used,"$3,200 ","Big Pine Key, Florida, United States",2007,"24,000",Gray,Honda,"Vehicle does NOT have an existing warranty",Shadow,"Spirit 750",Cruiser,100,12,"Private Seller"
,Used,"$3,249 ","Naples, Florida, United States",2014,"8,799","SAND CAMO DENIM",Harley-Davidson,,Sportster,,Cruiser,8.6,1122,Dealer
,Used,$700,"Paramus, New Jersey, United States",1995,"4,043",Red,Yamaha,"Vehicle does NOT have an existing warranty",Virago,N/A,Standard,100,14,"Private Seller"
,New,"$55,000 ","Longwood, Florida, United States",2017,50,blue/green/silver,"Custom Built Motorcycles","Vehicle has an existing warranty",Chopper,"pro street",Cruiser,100,64,manufacturer
,Used,"$15,000 ","Fort Lauderdale, Florida, United States",2015,"3,400",Black,BMW,"Vehicle has an existing warranty",K1600GTL,,Touring,,13,"Private Seller"
,Used,"$3,210 ","Adairsville, Georgia, United States",2004,"5,301",Black,Aprilia,"Vehicle does NOT have an existing warranty","RSV1000R FACTORY",,"Sport Bike",100,987,"Private Seller"
,Used,"$7,450 ","McAllen, Texas, United States",2009,"16,902",Black,Harley-Davidson,,Dyna,,Cruiser,,0,"Private Seller"
,Used,"$2,332 ","Pittsburgh, Pennsylvania, United States",1998,"12,829",Red,Triumph,"Vehicle does NOT have an existing warranty","Thunderbird Sport",Sport,"Caf\xE9 Racer",100,1022,"Private Seller"
,Used,"$14,000 ","Miami, Florida, United States",1948,"4,999",Teal,"Other Makes","Vehicle does NOT have an existing warranty","S7 Early Model",,,100,304,"Private Seller"
,Used,"$2,495 ","Brewster, Ohio, United States",2007,"4,465",,Kawasaki,,Vulcan,,,100,2950,"Private Seller"
,Used,"$10,995 ","Orlando, Florida, United States",2016,"6,273",,Suzuki,,"GSX-R1000 Commemorative Edition",,Manual,,227,
,Used,"$1,025 ","Suncook, New Hampshire, United States",2012,"9,083",Black,Honda,,Shadow,,Standard,100,1978,Dealer
,Used,"$17,992 ","Round Rock, Texas, United States",2015,"2,437",--,Indian,Unspecified,"Roadmaster Thunder Black",,Gasoline,100,501,Dealer
,Used,"$11,200 ","Elyria, Ohio, United States",2002,"12,000",Red/yellow,Indian,"Vehicle does NOT have an existing warranty",Indian,,Touring,100,542,"Private Seller"
,Used,"$6,800 ","Merrimack, New Hampshire, United States",2010,"1,913",Blue,Yamaha,"Vehicle does NOT have an existing warranty",Raider,S,Cruiser,100,25,"Private Seller"
,Used,"$6,500 ","Rome, Georgia, United States",2004,"52,242",Red,Honda,,VTX,,,100,404,
,Used,"$5,700 ","Collierville, Tennessee, United States",2006,"3,700",Red,Harley-Davidson,,V-ROD,"VRSCSEScreamin Eag",,,0,Dealer
,New,"$15,200 ","Sterling, Virginia, United States",2017,0,"CRYSTAL WHITE METALLIC",Triumph,,"Speed Triple",,Standard,100,92,Dealer
,Used,"$3,051 ","Bellmore, New York, United States",2013,511,"TWO TONE RED AND BLACK",Suzuki,"Vehicle does NOT have an existing warranty",Boulevard,,Cruiser,100,535,
,Used,"$2,800 ","Tazewell, Virginia, United States",2005,"13,037",Red,Yamaha,"Vehicle does NOT have an existing warranty","V Star","650 Classic",Standard,100,305,"Private Seller"
,Used,"$1,425 ","Summerfield, North Carolina, United States",2002,0,Blue,Yamaha,"Vehicle does NOT have an existing warranty",YZ,,Off-Road,100,1980,"Private Seller"
,Used,"$13,500 ","Hollywood, Florida, United States",2001,411,Black,Indian,"Vehicle does NOT have an existing warranty",Scout,,,100,38,"Private Seller"
,Used,"$6,100 ","Brooklyn, New York, United States",2009,"22,000",Black,Harley-Davidson,"Vehicle does NOT have an existing warranty",Sportster,XL883C,,,0,"Private Seller"
,Used,"$7,500 ","Reinholds, Pennsylvania, United States",2012,"5,056",Black,Suzuki,,"V-STROM ABS",,Standard,100,1,
,Used,"$7,500 ","Fredericksburg, Virginia, United States",2008,"2,300",Copper/blk,Harley-Davidson,"Vehicle does NOT have an existing warranty","Dyna Lowrider","Anniversary Edition",,,0,"Private Seller"
,Used,"$7,700 ","Forest, Ohio, United States",2006,"12,553","Midnight Saphire Blue","Big Dog","Vehicle does NOT have an existing warranty",Mastiff,,,100,1569,"Private Seller"
,Used,"$8,250 ","San Tan Valley, Arizona, United States",1998,"27,900","Turquoise / Black",Honda,"Vehicle does NOT have an existing warranty",Valkyrie,CT,,100,224,"Private Seller"
,Used,"$3,499 ","Osseo, Minnesota, United States",2003,"55,077",,Yamaha,,FJR,,,100,9778,Dealer
,Used,"$1,825 ","San Antonio, Texas, United States",1996,"17,964",Black,Yamaha,"Vehicle does NOT have an existing warranty","V Max","1200 V-4",Cruiser,100,222,"Private Seller"
,Used,"$5,999 ","Mansfield, Texas, United States",2011,"14,280",Red,Kawasaki,,Verseys,,,100,661,
,Used,"$11,990 ","Mesquite, Texas, United States",2007,"17,000",Blue,Suzuki,"Vehicle does NOT have an existing warranty",Hayabusa,,"Sport Bike",100,14,owner
,Used,"$22,000 ","St. George, Utah, United States",2015,"2,074",--,Harley-Davidson,"Vehicle does NOT have an existing warranty",Softail,,Gasoline,100,572,Dealer
,Used,"$5,700 ","Stafford, Virginia, United States",2013,"2,684",Black,BMW,"Vehicle does NOT have an existing warranty",C650,GT,,100,15,"Private Seller"
,Used,"$9,000 ","Los Angeles, California, United States",2008,"5,700",White,Ducati,,Superbike,,"Sport Bike",100,95,"Private Seller"
,Used,"$9,791 ","Scott City, Missouri, United States",2008,"14,320",Silver,Harley-Davidson,Unspecified,"Heritage Softail Classic",,Gasoline,100,4,Dealer
,Used,"$5,999 ","Dahlonega, Georgia, United States",2001,"20,693",Black,Honda,"Vehicle does NOT have an existing warranty",Valkyrie,,Cruiser,9.6,3358,"Private Seller"
,Used,"$7,300 ","Whitehall, Pennsylvania, United States",2008,"3,860",White,Ducati,"Vehicle does NOT have an existing warranty",Superbike,,"Sport Bike",100,11,"Private Seller"
,Used,"$7,500 ","Georgetown, Texas, United States",2000,"6,500","Black / copper","Other Makes",,"Arlen Ness Ultra Custom",,Chopper,100,597,"Private Seller"
,Used,"$10,000 ","Penticton, British Columbia, Canada",1998,"3,160",,Harley-Davidson,,"Ultra Classic",,,,0,"Private Seller"
,Used,"$4,599 ","Fernley, Nevada, United States",2006,"62,184",White,Honda,NO,"ST1300 POLICE ABS EXCELLENT",PA6,"Sport Touring",100,269,"Private Seller"
,Used,"$5,500 ","Tawas City, Michigan, United States",2016,500,Green,Kawasaki,,KX,"KX 450F 4 Stroke",Off-Road,100,1737,"Private Seller"
,Used,"$10,777 ","Miami, Florida, United States",2014,"4,087","Black and chrome",Kawasaki,,Vulcan,,Vulcan,100,879,Owner
,Used,"$4,000 ","Fort Smith, Arkansas, United States",2009,"10,450",Red,Yamaha,"Vehicle does NOT have an existing warranty",Raider,,,100,28,"Private Seller"
,Used,"$8,995 ","Colorado Springs, Colorado, United States",2010,"45,500",,BMW,,R-Series,,,,0,
,Used,"$1,400 ","Garrison, New York, United States",1978,"5,994",Black,Suzuki,"Vehicle does NOT have an existing warranty","550 GSL",,Cruiser,100,37,"Private Seller"
,Used,"$4,500 ","League City, Texas, United States",2009,"31,000",Black,Yamaha,"Vehicle does NOT have an existing warranty",FJR,1300A,"Sport Touring",100,141,"Private Seller"
,Used,"$1,100 ","Kingmont, West Virginia, United States",2006,"3,400",,Suzuki,,Boulevard,40,,8.6,678,
,Used,$100,"Garfield, Arkansas, United States",2002,"5,620",Black,Yamaha,"Vehicle does NOT have an existing warranty","V Star",,Cruiser,100,22,"Private Seller"
,Used,"$3,000 ","Prospect, Connecticut, United States",2002,"7,839","Silver with Ghost Flames",Honda,"Vehicle does NOT have an existing warranty","Sabre VT1100C2",,Cruiser,100,2289,"Private Seller"
,Used,"$6,900 ","Spring, Texas, United States",2008,"10,000",White,Ducati,"Vehicle does NOT have an existing warranty",Superbike,,"Sport Bike",100,108,"Private Seller"
,Used,"$19,999 ","Miami, Florida, United States",2016,166,Black/Red,Indian,,Chief,,Custom,100,47,Dealer
,Used,"$4,450 ","Jacksonville, Florida, United States",2015,"1,490",Blue,Honda,"Vehicle does NOT have an existing warranty",CT,DCT,Cruiser,100,106,"Private Seller"
,Used,"$7,000 ","Philadelphia, Pennsylvania, United States",2008,"17,000",Red,Ducati,"Vehicle does NOT have an existing warranty",Superbike,1098,"Sport Bike",100,21,"Private Seller"
,Used,"$1,200 ","Port Royal, Pennsylvania, United States",2004,"31,000",Gray,Kawasaki,"Vehicle does NOT have an existing warranty",Vulcan,,Cruiser,100,36,"Private Seller"
,Used,"$6,900 ","Ridgeland, Mississippi, United States",2014,"13,837","Liquid Graphite",Yamaha,,FZ,,Standard,100,1342,Dealer
,New,"$10,048 ","Marietta, Georgia, United States",2016,10,YELLOW,Ducati,"Vehicle has an existing warranty","SCRAMBLER CLASSIC",,Standard,100,780,Dealer
,Used,"$14,980 ","Round Rock, Texas, United States",2016,"3,096",Gold,Harley-Davidson,Unspecified,Softail,,Gasoline,100,501,Dealer
,Used,"$2,800 ","Wolcott, Connecticut, United States",1979,0,yellow,Suzuki,,RM,,rm,8.6,1418,
,Used,"$4,948 ","Ridgeland, Mississippi, United States",2007,"40,213",Green/Black,Harley-Davidson,,Sportster,,Standard,100,1342,Dealer
,Used,$975,"Rochester, New York, United States",2001,"8,516",Burgundy,Kawasaki,"Vehicle does NOT have an existing warranty",Vulcan,,,100,107,"Private Seller"
,Used,"$10,995 ","Orlando, Florida, United States",2016,"6,273",,Suzuki,,"GSX-R1000 Commemorative Edition",,Manual,,227,
,Used,"$1,025 ","Suncook, New Hampshire, United States",2012,"9,083",Black,Honda,,Shadow,,Standard,100,1978,Dealer
,New,"$1,329 ","USA, United States",2017,1,"black green","Other Makes","Vehicle has an existing warranty","Enduro HAWK 250CC ( Free shipping to your door)",,"Dual-Purpose Endure dirt bike 250 cc",5.8,582,Dealer
,New,"$6,299 ","Brilliant, Ohio, United States",2015,0,"Pearl Glacier White",Suzuki,"Vehicle has an existing warranty",Boulevard,M50,Cruiser,100,334,Dealer
,New,"$7,499 ","Brilliant, Ohio, United States",2015,0,"Pearl Glacier White",Suzuki,"Vehicle has an existing warranty",Boulevard,M50,Cruiser,100,334,Dealer
,Used,"$6,999 ","Wichita Falls, Texas, United States",2015,"1,634",Gray,Yamaha,"Vehicle does NOT have an existing warranty",FJR,,Dual-Purpose,100,31,Dealer
,Used,"$6,500 ","Rome, Georgia, United States",2004,"52,242",Red,Honda,,VTX,,,100,404,
,Used,"$5,700 ","Collierville, Tennessee, United States",2006,"3,700",Red,Harley-Davidson,,V-ROD,"VRSCSEScreamin Eag",,,0,Dealer
,Used,"$1,500 ","Lynnwood, Washington, United States",1982,"15,038",Blue,Honda,"Vehicle does NOT have an existing warranty",CM450E,,Standard,100,306,"Private Seller"
,Used,"$5,100 ","Hawley, Pennsylvania, United States",2014,200,Blue,Yamaha,"Vehicle does NOT have an existing warranty",WR,,Off-Road,100,104,"Private Seller"
,Used,"$1,000 ","Virginia Beach, Virginia, United States",1985,"21,000",Burgundy,Honda,"Vehicle does NOT have an existing warranty",Magna,Vf700c,Standard,100,154,"Private Seller"
,Used,"$11,000 ","Selden, New York, United States",2009,"9,806",Orange,"Custom Built Motorcycles","Vehicle does NOT have an existing warranty",Chopper,,Chopper,100,201,"Private Seller"
,Used,"$12,450 ","Round Rock, Texas, United States",2014,"34,086",Blue,Indian,Unspecified,"Chief Vintage Springfield Blue",,Gasoline,100,501,Dealer
,Used,"$3,999 ","Arlington, Texas, United States",2004,"12,686",Red,Honda,,Interceptor,,,100,634,
,Used,"$2,225 ","Stroudsburg, Pennsylvania, United States",1982,"1,300",Black,"Custom Built Motorcycles","Vehicle does NOT have an existing warranty",Bobber,"Heritage Special",Bobber,100,125,"Private Seller"
,Used,$250,"Suncook, New Hampshire, United States",2014,"4,632",Black,Indian,,Chief,,Standard,100,1978,Dealer
,Used,"$39,995 ","West Point, California, United States",1933,350,,Indian,"Vehicle does NOT have an existing warranty",Chief,Bobber,,100,643,"Private Seller"
,Used,"$2,395 ","Greenacres, Washington, United States",1970,"1,308",Blue,Honda,"Vehicle does NOT have an existing warranty",CT,"TRAIL 70",,100,24,"Private Seller"
,Used,"$10,888 ","Dundalk, Maryland, United States",2005,"5,506",Black,Harley-Davidson,,Softail,,,,0,
,Used,"$7,700 ","Forest, Ohio, United States",2006,"12,553","Midnight Saphire Blue","Big Dog","Vehicle does NOT have an existing warranty",Mastiff,,,100,1569,"Private Seller"
,Used,"$4,000 ","Kent, Ohio, United States",2007,"24,000",Red,Kawasaki,"Vehicle does NOT have an existing warranty",Vulcan,Classic,Cruiser,100,352,"Private Seller"
,Used,"$2,500 ","Swansea, South Carolina, United States",1964,"2,746",Black,Honda,"Vehicle does NOT have an existing warranty",CL,Dream,Touring,100,20,"Private Seller"
,New,"$18,699 ","Miami, Florida, United States",2016,0,White,Indian,,Chief,,Cruiser,100,47,Dealer
,Used,"$4,300 ","Laquey, Missouri, United States",2006,"41,000",Burgundy,Yamaha,"Vehicle does NOT have an existing warranty",Roadliner,,,,2,"Private Seller"
,Used,"$1,800 ","Elkton, Maryland, United States",1972,"13,367",Burgundy,Yamaha,"Vehicle does NOT have an existing warranty",XS,,Standard,6.8,224,"Private Seller"
,Used,"$1,550 ","McHenry, Illinois, United States",2015,"3,234",Black,Ducati,"Vehicle does NOT have an existing warranty",DIAVEL,,"Sport Bike",100,117,Dealer
,Used,"$7,500 ","Seattle, Washington, United States",1979,"100,000","El Toro Orange",Yamaha,"Vehicle does NOT have an existing warranty",TT,,Off-Road,100,1217,Owner
,New,"$8,426 ","Marietta, Georgia, United States",2016,10,YELLOW,Ducati,"Vehicle has an existing warranty","SCRAMBLER ICON",,Standard,100,780,Dealer
,Used,"$3,450 ","Huntingdon Valley, Pennsylvania, United States",2008,988,Black,Suzuki,"Vehicle does NOT have an existing warranty",Boulevard,S50,"Sport Touring",9.6,842,Dealer
,Used,"$4,500 ","Whitehouse Station, New Jersey, United States",2007,"7,500",Black,Kawasaki,,Vulcan,,Cruiser,100,266,"Private Seller"
,Used,"$9,080 ","New Britain, Connecticut, United States",2009,"8,500",Orange,Suzuki,"Vehicle does NOT have an existing warranty",Hayabusa,,"Sport Bike",100,76,"Private Seller"
,Used,"$9,000 ","Los Angeles, California, United States",2008,"5,700",White,Ducati,,Superbike,,"Sport Bike",100,95,"Private Seller"
,Used,"$9,791 ","Scott City, Missouri, United States",2008,"14,320",Silver,Harley-Davidson,Unspecified,"Heritage Softail Classic",,Gasoline,100,4,Dealer
,Used,"$7,000 ","Sparrow Bush, New York, United States",1999,"31,000",Orange,Harley-Davidson,,Softail,,,,0,"Private Seller"
,Used,$100,"Altamonte Springs, Florida, United States",2006,"43,000",Blue,Suzuki,"Vehicle does NOT have an existing warranty",Boulevard,"M 50","Sport Touring",100,182,"Private Seller"
,Used,"$7,300 ","Whitehall, Pennsylvania, United States",2008,"3,860",White,Ducati,"Vehicle does NOT have an existing warranty",Superbike,,"Sport Bike",100,11,"Private Seller"
,New,"$11,999 ","Petersburg, West Virginia, United States",2016,0,"Pearl Crystal White",Kawasaki,,Vulcan,,Cruiser,9.7,21748,Dealer
,Used,"$10,000 ","Penticton, British Columbia, Canada",1998,"3,160",,Harley-Davidson,,"Ultra Classic",,,,0,"Private Seller"
,Used,$500,"Rohnert Park, California, United States",1971,"4,088",Blue,Honda,"Vehicle does NOT have an existing warranty",CL,,,,204,"Private Seller"
,Used,"$2,400 ","LaGrange, Georgia, United States",2009,999,Green,Kawasaki,"Vehicle does NOT have an existing warranty",KX,450F,Off-Road,100,219,"Private Seller"
,Used,"$2,999 ","Santa Fe Springs, California, United States",2011,150,Blue,Yamaha,"Vehicle does NOT have an existing warranty",WR,450F,Off-Road,100,9,"Private Seller"
,Used,"$1,400 ","Garrison, New York, United States",1978,"5,994",Black,Suzuki,"Vehicle does NOT have an existing warranty","550 GSL",,Cruiser,100,37,"Private Seller"
,Used,"$3,000 ","Oxford, Alabama, United States",1978,"100,000",Silver,Triumph,"Vehicle does NOT have an existing warranty",Bonneville,T140,Standard,100,99,"Private Seller"
,Used,"$2,399 ","Fort Collins, Colorado, United States",1985,"24,000",Blue,Yamaha,"Vehicle does NOT have an existing warranty","V Max","Maxim X",Cruiser,100,549,"Private Seller"
,Used,"$2,700 ","Boston, Massachusetts, United States",1994,"36,100",Red,BMW,"Vehicle does NOT have an existing warranty",K-Series,K1100RS,"Sport Touring",100,797,"Private Seller"
,Used,"$2,299 ","Bridgewater, New Jersey, United States",1997,"25,027",,BMW,"Vehicle does NOT have an existing warranty",F-Series,F-650ST,,100,88,"Private Seller"
,Used,"$3,900 ","Boca Raton, Florida, United States",1991,"21,239",Black,BMW,"Vehicle does NOT have an existing warranty",K-Series,K1,"Sport Touring",,2,"Private Seller"
,Used,"$4,999 ","Fair Haven, Vermont, United States",2008,"16,500",Black,Kawasaki,,Vulcan,"Mean Streak Special Edition",Cruiser,100,83,"Private Seller"
,Used,"$2,900 ","Salem, Illinois, United States",1999,152,Blue,"Royal Enfield","NO WARRANTY","BULLET 500",,,100,382,"Private Seller"
,Used,"$5,900 ","Locust Valley, New York, United States",2013,"2,847","Matte Black",Ducati,,Monster,,,,7,
,Used,"$2,325 ","Suncook, New Hampshire, United States",2005,"30,235",Black,Harley-Davidson,,Softail,,Standard,100,1978,Dealer
,Used,"$17,000 ","Matthews, North Carolina, United States",2007,"3,800",Black,"Custom Built Motorcycles","Vehicle does NOT have an existing warranty","Pro Street",,custom,100,67,"Private Seller"
,Used,"$4,000 ","Georgetown, Texas, United States",2012,"1,550",White,Yamaha,"Vehicle does NOT have an existing warranty",FZ,6R,"Sport Bike",100,148,"Private Seller"
,Used,"$3,750 ","Watsonville, California, United States",1966,"5,206",Burgundy,Yamaha,"Vehicle does NOT have an existing warranty",YM1,YM1,"Sport Bike",100,649,"Private Seller"
,Used,"$3,550 ","Webb City, Missouri, United States",2008,"18,515",Black,Yamaha,"Vehicle does NOT have an existing warranty","V Star",,Cruiser,100,289,Dealer
,Used,"$5,995 ","Hibbing, Minnesota, United States",2008,"5,477","Black W/ Subtle Metallic Blue Spec",Suzuki,Unspecified,Boulevard,M109R,Cruiser,100,3247,"Private Seller"
,New,"$18,999 ","Shawnee, Oklahoma, United States",2016,0,,"Other Makes",,"Reverse Trike SL Red Pearl",,Standard,8.4,1758,Dealer
,Used,"$5,200 ","Redding, California, United States",2006,"6,930",Burgundy,Yamaha,,"V Star",,Cruiser,100,44,"Private Seller"
,Used,"$3,750 ","Hull, Georgia, United States",2014,N/A,Red,Honda,"Vehicle does NOT have an existing warranty",CRF,,Off-Road,100,33,"Private Seller"
,Used,"$18,000 ","Livonia, Michigan, United States",2013,"5,000",Green,Ducati,"Vehicle does NOT have an existing warranty",Monster,"Diesel edition",Naked,100,257,"Private Seller"
,Used,"$4,000 ","Holyoke, Massachusetts, United States",2009,"8,720",Black,Yamaha,"Vehicle does NOT have an existing warranty","V Star",,,,84,"Private Seller"
,Used,"$2,200 ","Oxnard, California, United States",2001,"23,345",Black,"Other Makes","Vehicle does NOT have an existing warranty",ET4,,Scoooter,100,176,"Private Seller"
,New,"$4,999 ","Brilliant, Ohio, United States",2014,5,BLACK,Suzuki,"Vehicle has an existing warranty",Boulevard,M50,Cruiser,100,334,Dealer
,Used,"$2,499 ","Organ, New Mexico, United States",2006,N/A,,Suzuki,"Vehicle does NOT have an existing warranty",RM,,Off-Road,100,666,"Private Seller"
,Used,$975,"Rochester, New York, United States",2001,"8,516",Burgundy,Kawasaki,"Vehicle does NOT have an existing warranty",Vulcan,,,100,107,"Private Seller"
,Used,"$3,550 ","Collierville, Tennessee, United States",2010,"7,102",Red,Honda,,Other,,"Sport Bike",,0,Dealer
,Used,"$3,050 ","McHenry, Illinois, United States",2017,0,Orange,KTM,"Vehicle does NOT have an existing warranty",SX,,Off-Road,100,117,Dealer
,New,"$3,499 ","Pikeville, Kentucky, United States",2017,0,Red,Benelli,"12 Month Limited","TNT 600",,"Sport Bike",100,2390,Dealer
