Listing Office - Office Name,List Agent - Agent Name,Price,Status,Address,City,MLS #,Property Type,State,County,Date - MLS List,Bedrooms - Total,Baths - Total,SqFtTotFn,DOM,Assessment Amount,Assessment Year,Price - Closed,Price - List,PicCount, Price - Original , Tax - Gross Amount ,Date - Closed,Lot - Acres,Garage Type,Year Built,Total Stories,Surveyed,Showing Service,Seasonal,Water Body Type,Water Frontage Length,Short Sale,Rooms - Total,Rented,Garage Capacity,Garage,Foreclosed/Bank-Owned/REO,Flood Zone,Easements,Development / Subdivision,Current Use,Covenants,Common Land Acres,Basement Access Type,Basement
Lisa Berry Properties,House agent 6294,"$195,000",CL,24 Pleasant St,Lebanon,4136150,Condo,NH,NH-Grafton,2/25/2012,2,3,"2,112",69,"$196,700",2011,"$195,000","$199,000",15,"199,000","4,784",8/31/2012,0,Attached,1977,2,No,,No,,,,6,,1,Yes,,No,,Village Green,,Yes,,Walkout,Yes
Four Seasons Sotheby's Int'l Realty,Judith Cashman,"$262,500",CL,12 Hough Street,Lebanon,4136766,Single Family,NH,NH-Grafton,2/27/2012,3,2,"2,292",14,,,"$262,500","$274,500",24,"274,500","5,929",6/5/2012,0.38,Attached,1948,2,No,,No,,,,9,,2,Yes,,No,,,,No,,Interior,Yes
Four Seasons Sotheby's Int'l Realty,Bruce McLaughry,"$330,000",CL,8 Moss Road,Lebanon,4137645,Single Family,NH,NH-Grafton,2/29/2012,3,3,"3,064",7,"$321,600",2011,"$330,000","$334,500",9,"334,500","7,509",4/24/2012,2.1,Detached,1973,2,Yes,,No,,,,11,,2,Yes,No,No,,Foliage View,,Yes,,,No
Coldwell Banker Redpath and Company,House Agent,"$160,000",CL,9 Forest Ave,Lebanon,4137210,Single Family,NH,NH-Grafton,3/1/2012,2,2,"1,150",71,,,"$160,000","$169,000",10,"189,000","4,117",8/9/2012,0.25,Under,1930,2,Yes,,No,,,,5,,1,Yes,,No,,,,No,,Walkout,Yes
Coldwell Banker Redpath and Company,House Agent,"$200,000",CL,20 Green St West,Lebanon,4137535,Single Family,NH,NH-Grafton,3/1/2012,3,1,"1,695",58,,,"$200,000","$209,000",15,"219,000","4,675",6/11/2012,0.23,Detached,1940,1.5,Unknown,,No,,,,6,,2,Yes,No,No,,,,No,,Interior,Yes
Coldwell Banker Redpath and Co./Quechee,agent22051 house,"$280,000",CL,47 Poverty Lane,Lebanon,4137212,Single Family,NH,NH-Grafton,3/1/2012,3,2,"1,568",6,"$303,500",,"$280,000","$289,000",22,"289,000","7,381",5/31/2012,1.55,Detached,1998,2,Yes,,No,,,,7,,2,Yes,,No,,,Unknown,No,,Interior,Yes
Patrick E. Flanagan Real Estate,Patrick Flanagan,"$167,000",CL,233 Meriden Road,Lebanon,4138205,Single Family,NH,NH-Grafton,3/5/2012,3,2,"1,326",99,"$186,100",2011,"$167,000","$179,000",21,"185,000","4,526",7/20/2012,0.44,Attached,1963,1,Unknown,,No,,,,7,,1,Yes,No,No,,,,No,,Walkout,Yes
Coldwell Banker Redpath and Company,House Agent,"$240,000",CL,5 Timothy Ave,Lebanon,4139299,Single Family,NH,NH-Grafton,3/8/2012,4,2,"1,800",16,,,"$240,000","$235,000",17,"269,000","5,253",5/16/2012,0.23,Detached,1940,2,No,,No,,,,8,,2,Yes,No,No,,,,No,,Interior,Yes
Four Seasons Sotheby's Int'l Realty,Bruce McLaughry,"$320,000",CL,31 Union Street,Lebanon,4139817,Single Family,NH,NH-Grafton,3/9/2012,3,3,"1,714",63,"$227,300",2011,"$320,000","$336,000",24,"349,000","5,308",6/13/2012,0.39,Attached,1890,1.75,Yes,,No,,,,10,,2,Yes,No,No,,,,No,,Walkout,Yes
Patrick E. Flanagan Real Estate,Patrick Flanagan,"$145,000",CL,134 Bank Street,Lebanon,4139821,Single Family,NH,NH-Grafton,3/12/2012,4,1,"1,976",163,"$191,000",2011,"$145,000","$155,000",12,"175,000","4,668",9/28/2012,1.31,,1932,2,Unknown,,No,,,,7,,0,No,No,No,,,,No,,Walkout,Yes
Coldwell Banker Redpath and Company,House Agent,"$193,000",CL,19 Wolf Rd,Lebanon,4140074,Single Family,NH,NH-Grafton,3/12/2012,4,2,"1,166",51,,,"$193,000","$199,500",11,"210,000","4,894",6/27/2012,0.31,,1986,2,No,,No,,,,7,,0,No,No,No,,,,No,,Interior,Yes
Patrick E. Flanagan Real Estate,Patrick Flanagan,"$234,000",CL,3 Crafts Ave,Lebanon,4140098,Single Family,NH,NH-Grafton,3/12/2012,4,2,"1,990",48,"$237,600",2012,"$234,000","$237,000",21,"237,000","5,778",6/18/2012,0.46,Detached,1900,3,Yes,,No,,,,8,,2,Yes,No,No,,,,No,,Walk-up,Yes
RE/MAX Upper Valley,Gerry Stark,"$210,000",CL,44 Farr Road,Lebanon,4140932,Single Family,NH,NH-Grafton,3/16/2012,2,2,"1,240",45,"$243,900",2011,"$210,000","$229,900",12,"239,000","5,932",6/26/2012,4.1,Attached,1996,1,Yes,,No,,,,6,,1,Yes,No,No,,,No,Yes,,Interior,Yes
RE/MAX Upper Valley,Deb M Roberts,"$196,611",CL,2 Jones,Lebanon,4141146,Single Family,NH,NH-Grafton,3/17/2012,4,1,"1,748",34,"$202,500",2011,"$196,611","$199,999",16,"199,999","4,925",6/28/2012,0.23,Detached,1970,1,Yes,,No,,,,7,,2,Yes,No,No,,,No,No,,Walkout,Yes
Roger J. Roberts Real Estate,Linda Roberts-Kane,"$265,000",CL,74 Apple Blossom Drive,Lebanon,4141148,Single Family,NH,NH-Grafton,3/17/2012,2,3,"1,994",356,"$366,300",,"$265,000","$269,000",12,"314,000","8,908",3/25/2013,0.18,Attached,2001,1.75,Unknown,,No,,,,5,,2,Yes,No,No,,The Falls at Rivers Edge,,Yes,,,No
Century 21 Highview Realty,Susan Latham,"$100,500",CL,235 Meriden,Lebanon,4141525,Single Family,NH,NH-Grafton,3/19/2012,2,1,"1,090",36,"$154,100",2011,"$100,500","$99,900",11,"99,900","3,748",6/8/2012,0.44,Attached,1967,1,Unknown,,No,,,,5,,1,Yes,Yes,Unknown,,,,Unknown,,,No
Vanessa Stone Real Estate,Vanessa Stone,"$47,500",CL,"20 Wolf Rd, Unit 8",Lebanon,4142150,Condo,NH,NH-Grafton,3/21/2012,2,1,640,6,"$52,500",,"$47,500","$55,000",7,"55,000","1,277",4/30/2012,0,,1986,1,Unknown,,No,,,,4,,0,No,No,Unknown,,The Boulders,No,Yes,,,No
Four Seasons Sotheby's Int'l Realty,Melissa Robinson,"$193,000",CL,25 Moss Road,Lebanon,4142295,Single Family,NH,NH-Grafton,3/22/2012,3,2,"1,482",18,"$210,100",,"$193,000","$199,000",21,"199,000","4,906",6/20/2012,2.1,Detached,1972,1.5,Unknown,,No,,,,6,,2,Yes,No,No,,Foliage view,,Yes,,,No
"James K. Bouchard, Realtor",James K Bouchard,"$282,000",CL,50 Eldridge Street,Lebanon,4142859,Single Family,NH,NH-Grafton,3/25/2012,3,3,"1,704",18,,2012,"$282,000","$274,000",16,"274,000", -   ,6/26/2012,0.26,Attached,2012,2,Unknown,,No,,,,6,,2,Yes,No,No,,,,No,,Walkout,Yes
Four Seasons Sotheby's Int'l Realty,agent221216 house,"$135,000",CL,13 Flynn Street,Lebanon,4143593,Single Family,NH,NH-Grafton,3/26/2012,2,1,"1,124",280,"$135,000",2011,"$135,000","$138,900",20,"157,000","2,625",2/28/2013,0.07,,1900,1.5,No,,No,,,,6,,0,No,No,No,,,,No,,Walkout,Yes
Coldwell Banker Redpath and Company,House Agent,"$280,000",CL,4 Pinewood Village,Lebanon,4143646,Condo,NH,NH-Grafton,3/28/2012,4,4,"3,500",2,"$293,900",,"$280,000","$300,000",12,"300,000","7,148",5/9/2012,0,Attached,1978,3,Yes,,No,,,,7,,1,Yes,No,No,,,,Yes,,Interior,Yes
Four Seasons Sotheby's Int'l Realty,Richard M Higgerson,"$190,000",CL,49 Eldridge Street,Lebanon,4144703,Single Family,NH,NH-Grafton,3/30/2012,3,2,"1,350",17,"$202,600",,"$190,000","$193,000",12,"193,000","4,927",6/22/2012,0.16,Detached,1920,1.5,No,,No,,,,6,,2,Yes,No,No,,,,No,,Interior,Yes
Coldwell Banker Redpath and Company,House Agent,"$224,000",CL,49 GREEN STREET,Lebanon,4145546,Condo,NH,NH-Grafton,4/3/2012,3,3,"2,056",106,"$223,100",,"$224,000","$248,000",16,"248,000","5,426",8/31/2012,0,,1886,3,Unknown,,No,,,,8,,0,No,No,No,,,,Yes,,Walk-up,Yes
Four Seasons Sotheby's Int'l Realty,Bruce McLaughry,"$226,600",CL,6 Abbott Street,Lebanon,4145916,Single Family,NH,NH-Grafton,4/4/2012,3,2,"1,496",5,"$205,600",,"$226,600","$224,000",13,"224,000","5,000",6/4/2012,0.26,Detached,1900,2,No,,No,,,,7,,1,Yes,No,No,,,No,No,,Walk-up,Yes
Big Green Real Estate,Bruce Bronner,"$370,000",CL,4 Park st,Lebanon,4145599,Single Family,NH,NH-Grafton,4/4/2012,8,5,"5,525",48,"$541,000",2011,"$370,000","$550,000",13,"550,000","13,157",10/19/2012,0.66,Detached,1813,3,Unknown,,No,,0,,18,,2,Yes,No,No,,,No,No,0,Walk-up,Yes
Four Seasons Sotheby's Int'l Realty,Richard M Higgerson,"$134,900",CL,163 Etna Road,Lebanon,4146077,Single Family,NH,NH-Grafton,4/5/2012,2,1,690,28,,,"$134,900","$134,900",10,"134,900","2,994",7/9/2012,0.65,Detached,1950,1,Unknown,,Unknown,,,,4,,1,Yes,No,No,,,,No,,Interior,Yes
Martha E. Diebold/Hanover,Jane Darrach,"$244,000",CL,33 Highland Avenue,Lebanon,4145795,Single Family,NH,NH-Grafton,4/5/2012,3,2,"1,760",6,,,"$244,000","$254,000",19,"254,000","6,087",6/18/2012,0.51,Detached,1920,2,No,,No,,,,7,,1,Yes,,No,,,,No,,Interior,Yes
Four Seasons Sotheby's Int'l Realty,Bruce McLaughry,"$185,000",CL,337 Mount Support Road,Lebanon,4147762,Condo,NH,NH-Grafton,4/6/2012,2,3,"1,317",0,,,"$185,000","$185,000",1,"185,000", -   ,4/6/2012,4.82,Under,2009,2,Yes,,No,,,,5,,1,Yes,No,No,,Quarry Hill,,Yes,,,No
RE/MAX Upper Valley,Deb M Roberts,"$202,500",CL,24 Dartmouth Avenue,Lebanon,4147275,Single Family,NH,NH-Grafton,4/10/2012,4,3,"2,160",233,"$253,500",2011,"$202,500","$200,000",21,"269,000","6,165",12/21/2012,0.23,,1995,2,Unknown,,No,Stream,,Yes,7,,0,No,No,Unknown,,,No,No,,Interior,Yes
Four Seasons Sotheby's Int'l Realty,Richard M Higgerson,"$297,000",CL,3 Gilson Road,Lebanon,4147600,Single Family,NH,NH-Grafton,4/10/2012,3,2,"2,488",26,"$293,200",,"$297,000","$305,000",12,"305,000","7,058",6/25/2012,0.69,Attached,1972,2,Yes,,No,,,,10,,2,Yes,No,No,,,,No,,Interior,Yes
Patrick E. Flanagan Real Estate,Patrick Flanagan,"$245,000",CL,13 Crawford,Lebanon,4147672,Single Family,NH,NH-Grafton,4/12/2012,3,2,"1,959",56,"$203,300",2011,"$245,000","$267,000",21,"279,000","4,945",7/20/2012,0.69,Attached,1957,1,Unknown,,No,,,,6,,2,Yes,No,No,,,,No,,Walk-up,Yes
Coldwell Banker Redpath and Co./Quechee,agent22051 house,"$176,000",CL,8 Elm Street,Lebanon,4149249,Condo,NH,NH-Grafton,4/18/2012,3,1,"1,384",14,"$141,600",2011,"$176,000","$177,000",15,"177,000","3,307",7/9/2012,0.3,,1924,2,Yes,,No,,,,6,,0,No,,No,,,No,Yes,,,Yes
LindeMac Real Estate,Linde McNamara,"$255,000",CL,16 Fountain Way,Lebanon,4149171,Condo,NH,NH-Grafton,4/18/2012,2,2,"1,508",31,"$277,500",,"$255,000","$255,000",11,"255,000","6,748",6/29/2012,0.16,Attached,2001,1,Yes,,No,,,,7,,2,Yes,No,No,,The Falls at Rivers Edge,,Yes,,,No
Four Seasons Sotheby's Int'l Realty,Melissa Robinson,"$98,000",CL,402 30 Wolf Road,Lebanon,4149744,Condo,NH,NH-Grafton,4/19/2012,1,1,650,5,"$101,900",,"$98,000","$100,000",19,"100,000","2,379",5/30/2012,0,,1987,1,Unknown,,No,,,,3,,0,No,No,No,,,Unknown,Yes,,,No
Century 21 Energy Shield Realty/Lebanon,William Sahlman,"$245,000",CL,32 BUCKINGHAM PLACE,Lebanon,4149643,Single Family,NH,NH-Grafton,4/19/2012,4,4,"2,880",8,"$332,700",2010,"$245,000","$235,000",24,"235,000","8,091",1/11/2013,1.29,Attached,1977,1.75,Yes,,No,,,,10,,2,Yes,Yes,No,,KINGS GRANT,No,Yes,,Interior,Yes
Coldwell Banker Redpath and Company,House Agent,"$234,500",CL,31 Wheatley St.,Lebanon,4149715,Single Family,NH,NH-Grafton,4/20/2012,3,2,"1,446",40,,,"$234,500","$249,000",12,"249,000","5,452",7/16/2012,0.67,Attached,1961,1,No,,No,,,,7,,1,Yes,No,No,,,,No,,Walkout,Yes
Real Home Services and Solutions,Agent41590 House,"$144,199",CL,74 WinonaCircle,Lebanon,4150200,Single Family,NH,NH-Grafton,4/23/2012,3,3,"1,404",7,"$226,400",2010,"$144,199","$144,000",3,"144,000","5,286",5/28/2012,0.25,Attached,1987,2,Unknown,,Unknown,,,,6,,1,Yes,Yes,Unknown,,,,No,,Walkout,Yes
Coldwell Banker Redpath and Company,House Agent,"$184,000",CL,12 Dulac St,Lebanon,4151208,Single Family,NH,NH-Grafton,4/25/2012,3,1,"1,040",11,,,"$184,000","$179,000",10,"179,000","4,293",6/21/2012,0.36,Under,1978,1,No,,No,River,114,,6,,1,Yes,No,No,,,,Yes,,Walkout,Yes
Coldwell Banker Redpath and Company,House Agent,"$232,000",CL,27 RIO VISTA 304,Lebanon,4150833,Condo,NH,NH-Grafton,4/25/2012,2,3,"1,850",291,,,"$232,000","$249,000",9,"289,000","5,838",3/29/2013,0,Attached,2008,2,Yes,,No,,,,6,,1,Yes,No,No,,ROCK RIDGE,,Yes,,,No
Coldwell Banker Redpath and Company,House Agent,"$299,000",CL,11 EVERGREEN COURT,Lebanon,4150828,Single Family,NH,NH-Grafton,4/25/2012,4,4,"2,400",287,"$409,900",,"$299,000","$299,000",9,"349,000","9,916",4/25/2013,0.24,Attached,2008,2,Yes,,No,,,,6,,2,Yes,No,Unknown,,ROCK RIDGE,,Yes,,,No
Coldwell Banker Redpath and Company,House Agent,"$315,000",CL,23 EVERGREEN COURT,Lebanon,4150830,Single Family,NH,NH-Grafton,4/25/2012,3,4,"2,400",250,,,"$315,000","$335,000",13,"399,000","8,381",1/31/2013,0.2,Attached,2008,2,Yes,,No,,,,7,,2,Yes,,Unknown,,ROCK RIDGE,,Yes,,,No
Coldwell Banker Redpath and Company,House Agent,"$380,000",CL,24 EVERGREEN COURT,Lebanon,4150831,Single Family,NH,NH-Grafton,4/25/2012,3,4,"2,400",216,,,"$380,000","$399,000",17,"449,000","12,507",1/18/2013,0.2,Attached,2007,2,Yes,,No,,,,7,,2,Yes,,Unknown,,ROCK RIDGE,,Yes,,Interior,Yes
Four Seasons Sotheby's Int'l Realty,Richard M Higgerson,"$173,000",CL,25 Williams Street,Lebanon,4152551,Single Family,NH,NH-Grafton,4/30/2012,4,1,"1,166",144,,,"$173,000","$178,500",9,"199,900","4,854",11/9/2012,0.88,,1960,1.5,Unknown,,No,,,,6,,0,No,No,No,,,,No,,Walkout,Yes
Four Seasons Sotheby's Int'l Realty,Melissa Robinson,"$228,000",CL,10 Winter Street West,Lebanon,4152805,Single Family,NH,NH-Grafton,5/1/2012,3,2,"1,087",16,"$194,900",,"$228,000","$228,000",19,"228,000","4,551",6/20/2012,0.18,,1930,2,Unknown,,No,,,,6,,0,No,No,No,,,,No,,Interior,Yes
Fidelity Real Estate Inc.,Dennis Marquise,"$226,000",CL,9 Stone Hill Road,Lebanon,4155834,Single Family,NH,NH-Grafton,5/13/2012,4,2,"2,184",190,"$235,300",2012,"$226,000","$245,000",7,"263,900","5,723",1/7/2013,2,Attached,1972,2,Unknown,,No,,,,7,,2,Yes,No,No,,,No,Yes,,Walkout,Yes
Real Home Services and Solutions,Agent41590 House,"$126,699",CL,115 School St,Lebanon,4156230,Single Family,NH,NH-Grafton,5/16/2012,3,2,"1,320",16,"$207,400",2010,"$126,699","$126,500",9,"126,500","4,843",6/27/2012,0.11,,1860,2,Unknown,,No,,,,7,,0,No,,Unknown,,,No,Unknown,,Walkout,Yes
Coldwell Banker Redpath and Company,House Agent,"$200,000",CL,2 Jefferson Place,Lebanon,4157532,Single Family,NH,NH-Grafton,5/21/2012,3,1,"1,320",57,,,"$200,000","$219,000",20,"229,000","5,326",8/30/2012,0.31,,1973,1,Unknown,,No,,,,6,,0,No,No,No,,,,No,,Walkout,Yes
Four Seasons Sotheby's Int'l Realty,Bruce McLaughry,"$125,000",CL,1 Central Avenue,Lebanon,4159180,Single Family,NH,NH-Grafton,5/25/2012,2,1,982,12,"$146,900",2011,"$125,000","$124,900",14,"124,900","3,711",8/8/2012,0.1,,1920,1.75,Unknown,,No,,,,6,,0,No,No,No,,,No,No,,Interior,Yes
Patrick E. Flanagan Real Estate,Patrick Flanagan,"$165,000",CL,6 Garnet Street,Lebanon,4159115,Single Family,NH,NH-Grafton,5/25/2012,2,2,864,158,"$191,000",2011,"$165,000","$165,000",24,"219,000","4,668",11/19/2012,0.58,Attached,1976,1,Yes,,No,,,,5,,2,Yes,No,No,,,,No,,Walkout,Yes
Coldwell Banker Redpath and Company,House Agent,"$192,500",CL,23 Prospect St.,Lebanon,4159255,Single Family,NH,NH-Grafton,5/25/2012,3,1,"1,126",131,,,"$192,500","$199,000",14,"229,000","4,191",11/20/2012,0.11,,1927,2,Unknown,,No,,,,6,,0,No,No,No,Yes,,,No,,Interior,Yes
Coldwell Banker Homes Unlimited,Cedric Howard,"$54,000",CL,1 Blacksmith,Lebanon,4160319,Single Family,NH,NH-Grafton,5/29/2012,3,2,970,15,"$139,500",2012,"$54,000","$51,000",6,"51,000","3,375",7/3/2012,0.19,,1850,1.75,Unknown,,No,,,,7,,0,No,Yes,No,,,,No,,Interior,Yes
Coldwell Banker Redpath and Company,House Agent,"$130,000",CL,204 Mechanic St.,Lebanon,4161753,Condo,NH,NH-Grafton,5/29/2012,2,1,828,132,,,"$130,000","$139,000",12,"139,000", -   ,1/4/2013,0,Under,1978,1,Yes,,No,,,,4,,1,Yes,No,No,,Terrace View,,No,2,,No
Coldwell Banker Redpath and Company,House Agent,"$325,000",CL,5 Crafts Hill,Lebanon,4161744,Single Family,NH,NH-Grafton,6/1/2012,3,2,"1,848",155,,,"$325,000","$345,000",16,"345,000","7,996",1/11/2013,10.1,Attached,1989,2,No,,No,,,,6,,2,Yes,No,No,,,,No,,Walkout,Yes
Four Seasons Sotheby's Int'l Realty,Bruce McLaughry,"$187,000",CL,337 Mount Support Road,Lebanon,4163182,Condo,NH,NH-Grafton,6/4/2012,2,3,"1,317",0,,,"$187,000","$187,000",1,"187,000",1,6/4/2012,4.82,,2009,2,Yes,,No,,,,5,,2,Yes,,No,,Lebanon Quarry Hill,,Yes,,,
RE/MAX Upper Valley,Gerry Stark,"$200,000",CL,60 Ice House Road,Lebanon,4163798,Single Family,NH,NH-Grafton,6/5/2012,2,1,"1,008",3,,,"$200,000","$199,900",1,"199,900","7,322",6/28/2012,0.21,Attached,1970,1,Unknown,,Yes,Lake,,,4,,2,Yes,No,Unknown,,,No,Unknown,,,No
Coldwell Banker Redpath and Company,House Agent,"$235,000",CL,27 RIO VISTA 303,Lebanon,4165727,Condo,NH,NH-Grafton,6/12/2012,2,3,"1,850",269,,,"$235,000","$235,000",9,"235,000","4,010",4/26/2013,0,Attached,2008,2,Yes,,No,,,,6,,1,Yes,No,No,,ROCK RIDGE,,Yes,,,No
Coldwell Banker Redpath and Company,House Agent,"$245,000",CL,27 RIO VISTA 301,Lebanon,4165729,Condo,NH,NH-Grafton,6/12/2012,2,3,"1,850",288,,,"$245,000","$249,000",9,"249,000","5,838",5/16/2013,0,Attached,2008,2,Yes,,No,,,,6,,1,Yes,No,No,,ROCK RIDGE,,Yes,,,No
Coldwell Banker Redpath and Company,House Agent,"$259,000",CL,23 Gilson Rd,Lebanon,4164890,Single Family,NH,NH-Grafton,6/12/2012,3,2,"1,669",6,"$270,600",,"$259,000","$259,900",10,"259,900","6,581",7/31/2012,0.76,Attached,1970,2,Yes,,No,,,,7,,2,Yes,No,No,,,,Unknown,,Walkout,Yes
Four Seasons Sotheby's Int'l Realty,agent221216 house,"$210,000",CL,188 Poverty Lane,Lebanon,4165751,Single Family,NH,NH-Grafton,6/14/2012,3,2,"1,144",110,"$252,500",2011,"$210,000","$229,000",14,"235,000","5,893",11/20/2012,2,Detached,1977,1,Yes,,No,,,,6,,2,Yes,No,No,,,No,No,,Walkout,Yes
Century 21 Energy Shield Realty/Lebanon,William Sahlman,"$260,000",CL,120 Prospect St. Extension,Lebanon,4167044,Single Family,NH,NH-Grafton,6/19/2012,3,2,"2,236",37,,,"$260,000","$268,900",19,"268,900","5,688",10/2/2012,0.67,Attached,1969,2,Yes,,No,,,,11,,2,Yes,No,No,,,,Unknown,,,No
Century 21 Energy Shield Realty/Lebanon,William Sahlman,"$830,000",CL,100 Alden Road,Lebanon,4167192,Single Family,NH,NH-Grafton,6/19/2012,4,5,"3,947",1007,"$955,800",2014,"$830,000","$879,000",24,"1,100,000","19,609",5/1/2015,75.6,Attached,2001,2,Yes,,No,,,No,15,,3,Yes,No,No,,,Yes,No,,Walkout,Yes
Four Seasons Sotheby's Int'l Realty,Melissa Robinson,"$239,000",CL,21 Apple Blossom Drive,Lebanon,4168365,Single Family,NH,NH-Grafton,6/23/2012,2,2,"1,450",5,"$274,000",,"$239,000","$239,000",20,"239,000","6,398",7/16/2012,0.18,Attached,2001,1,Unknown,,No,,,,6,,2,Yes,No,No,,The Falls,No,Yes,,,No
Four Seasons Sotheby's Int'l Realty,Bruce McLaughry,"$250,000",CL,337 Mount Support Road,Lebanon,4169335,Single Family,NH,NH-Grafton,6/28/2012,2,3,"1,317",0,,,"$250,000","$250,000",1,"250,000", -   ,6/28/2012,4.82,Under,2009,3,Yes,,No,,,,5,,1,Yes,,No,,,,Yes,,,
Coldwell Banker Redpath and Company,House Agent,"$355,000",CL,31 WESTVIEW LANE,Lebanon,4169717,Single Family,NH,NH-Grafton,6/29/2012,3,4,"2,975",40,,,"$355,000","$389,000",24,"389,000","8,080",10/31/2012,2.01,Attached,1980,2,Unknown,,No,,,,8,,2,Yes,No,No,,,,Yes,,Walk-up,Yes
"The Clerkin Agency, P.C.",Lisa M ONeil,"$175,000",CL,276 North Main Street,Lebanon,4171047,Single Family,NH,NH-Grafton,7/2/2012,2,2,"1,440",666,,,"$175,000","$189,900",18,"198,000","4,390",6/13/2014,1.13,Detached,1968,2,Unknown,,Unknown,,,No,6,,1,Yes,No,Unknown,Yes,,,No,,,No
LindeMac Real Estate,Linde McNamara,"$403,750",CL,28 Oak Ridge Road,Lebanon,4172340,Single Family,NH,NH-Grafton,7/12/2012,3,3,"2,521",392,"$536,400",,"$403,750","$425,000",12,"459,000","13,046",9/25/2013,0.88,Attached,1980,2,Yes,,No,,,,9,,2,Yes,No,No,,,,Yes,,Interior,Yes
Vanessa Stone Real Estate,Vanessa Stone,"$170,000",CL,18 Peabody,Lebanon,4173400,Single Family,NH,NH-Grafton,7/17/2012,3,2,"1,159",244,"$162,500",,"$170,000","$189,000",18,"197,900","3,931",4/23/2013,0.21,Under,1957,1,Unknown,,No,,,,5,,1,Yes,No,Unknown,,,No,Unknown,,Walkout,Yes
"C.G. Shepherd Realty, LLC",Sarah Luhmann,"$153,500",CL,37 Young Street,Lebanon,4173763,Single Family,NH,NH-Grafton,7/18/2012,2,1,"1,560",26,"$170,100",2011,"$153,500","$169,000",15,"169,000","4,137",10/4/2012,0.28,,1940,1,Yes,,No,,,,5,,0,No,No,No,,,,No,,Interior,Yes
RE/MAX Upper Valley/Hanover,Agent22341 House,"$155,000",CL,9 child,Lebanon,4174379,Single Family,NH,NH-Grafton,7/21/2012,3,2,"1,336",325,"$179,700",2012,"$155,000","$169,500",12,"179,900","4,900",6/26/2013,0.29,Attached,1960,1,Unknown,,No,,,,8,,1,Yes,No,No,,,No,Unknown,,Walkout,Yes
Real Home Services and Solutions,Agent41590 House,"$66,399",CL,20 ChurchStreet,Lebanon,4174700,Condo,NH,NH-Grafton,7/24/2012,2,1,"1,478",79,,,"$66,399","$71,300",5,"75,000","1,144",12/5/2012,0,,1994,2,Unknown,,Unknown,,,,5,,0,No,Yes,Unknown,,,,No,,Walkout,Yes
RE/MAX Upper Valley,Gerry Stark,"$174,900",CL,1 Indian Ridge Drive,Lebanon,4175333,Single Family,NH,NH-Grafton,7/25/2012,3,2,"1,534",61,"$197,200",,"$174,900","$174,900",14,"195,000","4,796",11/15/2012,0.53,Attached,1960,1,Unknown,,No,,,,6,,1,Yes,No,No,,,No,Yes,,Walkout,Yes
Four Seasons Sotheby's Int'l Realty,Richard M Higgerson,"$225,000",CL,12 Whitcomb Avenue,Lebanon,4175040,Single Family,NH,NH-Grafton,7/25/2012,3,2,"1,215",220,,,"$225,000","$229,000",20,"249,000","5,012",4/24/2013,0.32,Under,1950,1.5,No,,No,,,,7,,1,Yes,No,No,,,,Yes,,,Yes
Four Seasons Sotheby's Int'l Realty,Bruce McLaughry,"$187,000",CL,337 Mount Support Road,Lebanon,4175650,Condo,NH,NH-Grafton,7/27/2012,2,3,"1,317",0,,,"$187,000","$187,000",1,"187,000", -   ,7/27/2012,4.82,,2009,2,Yes,,No,,,,5,,0,No,,No,,Lebanon Quarry Hill,No,Yes,,,
Vanessa Stone Real Estate,Frederick Lane,"$100,000",CL,215&217 North Main Street,Lebanon,4176532,Single Family,NH,NH-Grafton,7/31/2012,1,1,668,36,"$159,500",,"$100,000","$135,000",10,"135,000","3,879",11/15/2012,1.07,,1966,1,Unknown,,No,River,,,4,,0,No,No,No,,,,No,,,No
RE/MAX Upper Valley,Gerry Stark,"$138,500",CL,14 Pine,Lebanon,4176275,Single Family,NH,NH-Grafton,7/31/2012,2,1,712,17,"$103,100",,"$138,500","$145,000",9,"145,000","2,507",11/21/2012,0.16,,1900,1.5,No,,No,,,,5,,0,No,,No,,,No,No,,Interior,Yes
Four Seasons Sotheby's Int'l Realty,Dick DuMez,"$155,000",CL,4 Estabrook Circle,Lebanon,4177172,Single Family,NH,NH-Grafton,8/3/2012,3,1,816,327,"$163,000",,"$155,000","$155,000",24,"174,000","3,883",8/21/2013,0.29,Attached,1950,1,Unknown,,No,,,,7,,1,Yes,No,No,,,,No,,,No
Coldwell Banker Redpath and Company,House Agent,"$239,000",CL,19 Pinewood Village,Lebanon,4177269,Condo,NH,NH-Grafton,8/3/2012,3,3,"1,943",6,"$278,600",,"$239,000","$239,000",19,"239,000","6,776",10/10/2012,0,Attached,1977,2,Yes,,No,,,,6,,1,Yes,No,No,,,,Yes,,Interior,Yes
Four Seasons Sotheby's Int'l Realty,Richard M Higgerson,"$417,000",CL,225 Slayton Hill Road,Lebanon,4178495,Single Family,NH,NH-Grafton,8/8/2012,3,4,"2,732",219,"$412,500",,"$417,000","$439,000",21,"439,000","9,978",7/30/2013,5.18,Attached,1999,2,Yes,,No,,,,8,,2,Yes,No,No,,,,No,,Interior,Yes
Roger J. Roberts Real Estate,Linda Roberts-Kane,"$87,500",CL,209 North Main St.,Lebanon,4179817,Single Family,NH,NH-Grafton,8/13/2012,1,1,646,50,"$152,800",,"$87,500","$125,000",2,"125,000","3,717",11/9/2012,1.08,Detached,1956,1,Unknown,,No,,,,5,,1,Yes,No,Unknown,,,,Yes,,Walk-up,Yes
